tripid,additional_fare,duration,meter_waiting,meter_waiting_fare,meter_waiting_till_pickup,pickup_time,drop_time,pick_lat,pick_lon,drop_lat,drop_lon,fare,label
189160756,10.5,358,66,0,79,11/1/2019 8:51,11/1/2019 8:57,6.05858,80.2003,6.05566,80.181,210.58,incorrect
189161377,10.5,644,638,14.7968,108,11/1/2019 8:54,11/1/2019 9:05,6.91029,79.8543,6.91185,79.8556,113.71,incorrect
189163162,10.5,618,128,7.3984,126,11/1/2019 9:12,11/1/2019 9:20,6.88661,79.9321,6.87383,79.9263,106.8,correct
189164454,10.5,1407,210,0,62,11/1/2019 9:15,11/1/2019 9:38,6.93268,79.8678,6.8876,79.8729,219.48,correct
189164880,10.5,575,23,0,66,11/1/2019 9:16,11/1/2019 9:25,7.15717,79.8726,7.18546,79.8996,178.26,correct
189164806,10.5,3549,2689,146.9854,69,11/1/2019 9:16,11/1/2019 9:29,6.91657,79.8593,6.89258,79.8554,,incorrect
189164831,,,,,,11/1/2019 9:17,11/1/2019 9:25,7.27586,80.6136,7.2881,80.6319,,incorrect
189165701,5,1588,302,17.6066,0,11/1/2019 9:17,11/1/2019 9:44,6.90356,79.9164,6.91787,79.8631,321.44,correct
189165828,10.5,2523,140,8.108413793,28,11/1/2019 9:23,11/1/2019 10:05,6.97752,79.9293,6.88842,79.9357,540.5,correct
189164791,10.5,286,44,0,9,11/1/2019 9:23,11/1/2019 9:28,7.48628,80.6206,7.47984,80.6233,545.89,incorrect
189165178,10.5,537,30,1.734,314,11/1/2019 9:24,11/1/2019 9:33,7.29313,80.6367,7.28499,80.6438,132.12,correct
189165865,10.5,345,10,0,91,11/1/2019 9:27,11/1/2019 9:32,6.86352,79.955,6.84671,79.9498,107.79,correct
189166546,10.5,1892,50,0,330,11/1/2019 9:34,11/1/2019 10:06,6.9605,79.9088,6.89588,79.9023,423.94,correct
189168392,10.5,1952,484,25.8944,124,11/1/2019 9:39,11/1/2019 10:11,6.87509,79.8658,6.93214,79.8786,344.84,correct
189168508,10.5,558,77,0.1156,187,11/1/2019 9:43,11/1/2019 9:52,6.86728,79.9204,6.87446,79.8969,129.52,correct
189170751,10.5,2847,865,0,52,11/1/2019 9:56,11/1/2019 10:44,6.80214,79.9093,6.89797,79.8931,552.29,correct
189170729,10.5,323,90,4.1038,16,11/1/2019 9:57,11/1/2019 10:02,6.84999,79.874,6.84819,79.867,81.06,correct
189172042,10.5,433,58,0,16,11/1/2019 10:06,11/1/2019 10:13,6.90475,79.8787,6.91829,79.8827,107.59,correct
189172150,10.5,188,10,0,5,11/1/2019 10:07,11/1/2019 10:10,6.8782,79.8685,6.88453,79.8675,60.5,correct
189174640,10.5,1409,100,4.3928,29,11/1/2019 10:27,11/1/2019 10:51,6.88709,79.8837,6.90814,79.8771,119.26,incorrect
189176766,10.5,7008,6120,345.1816,72,11/1/2019 10:46,11/1/2019 12:43,6.90882,79.8489,6.89405,79.854,525.49,correct
189177024,10.5,495,298,12.0802,35,11/1/2019 10:47,11/1/2019 10:56,6.87104,79.8829,6.86615,79.8852,61.67,correct
189177562,10.5,1466,0,0,283,11/1/2019 10:55,11/1/2019 11:20,6.85938,79.8633,6.85933,79.8632,60.5,incorrect
189178968,10.5,1939,338,19.5364,148,11/1/2019 11:05,11/1/2019 11:37,7.30175,80.6357,7.27375,80.6775,462.78,correct
189178922,10.5,1326,199,11.6017,69,11/1/2019 11:08,11/1/2019 11:30,6.84193,79.9077,6.88589,79.8871,225.17,correct
189179135,10.5,799,210,12.138,260,11/1/2019 11:10,11/1/2019 11:23,6.91795,79.8583,6.93299,79.8443,106.45,correct
189182800,10.5,220,10,0,27,11/1/2019 11:34,11/1/2019 11:37,7.48995,80.3639,7.49838,80.3715,71.84,correct
189183026,10.5,500,247,11.5022,9,11/1/2019 11:34,11/1/2019 11:42,6.58631,79.9598,6.59963,79.9544,91.77,correct
189182263,10.5,2225,310,0,474,11/1/2019 11:38,11/1/2019 12:15,6.89894,79.9345,6.91799,79.8476,427.26,correct
189183791,10.5,683,40,0,54,11/1/2019 11:42,11/1/2019 11:53,7.30281,80.6461,7.2928,80.6377,146.68,correct
189184874,5,2710,820,47.806,0,11/1/2019 11:44,11/1/2019 12:29,6.90527,79.929,6.93356,79.8562,463.04,correct
189185482,10.5,398,80,4.664,13,11/1/2019 11:52,11/1/2019 11:58,6.83605,79.9187,6.82994,79.9114,83.88,correct
189187733,10.5,1482,241,0,76,11/1/2019 12:09,11/1/2019 12:33,6.94108,79.8784,6.91573,79.9292,281.07,correct
189189239,5,1144,230,13.409,0,11/1/2019 12:09,11/1/2019 12:28,6.92953,79.8691,6.94076,79.9054,229.12,correct
189188700,10.5,2221,628,36.2984,161,11/1/2019 12:15,11/1/2019 12:52,6.87767,79.9203,6.89411,79.8667,314.95,correct
189190774,10.5,1311,631,36.4718,93,11/1/2019 12:23,11/1/2019 12:45,6.91192,79.9785,6.91188,79.9787,198.75,correct
189191170,10.5,389,30,0,52,11/1/2019 12:23,11/1/2019 12:30,7.28723,80.6316,7.29661,80.6366,102.19,correct
189191865,10.5,3813,2090,12.2536,268,11/1/2019 12:32,11/1/2019 13:36,7.09553,79.894,7.09561,79.894,1179.22,incorrect
189192436,10.5,22,21,0,289,11/1/2019 12:35,11/1/2019 12:35,7.07404,79.8923,7.07423,79.8922,60.5,correct
189195252,5,245,60,3.498,0,11/1/2019 12:35,11/1/2019 12:39,6.93598,79.8558,6.93377,79.86,63.49,correct
189195319,10.5,452,50,2.908888889,33,11/1/2019 12:38,11/1/2019 12:45,6.9193,79.8571,6.91168,79.8538,103.11,correct
189197174,10.5,184,12,0.6996,44,11/1/2019 12:47,11/1/2019 12:50,6.85314,79.872,6.85286,79.8659,61.19,correct
189197440,10.5,1130,50,0,93,11/1/2019 12:47,11/1/2019 13:06,7.29686,80.6366,7.29636,80.6377,60.5,incorrect
189199402,5,466,52,3.0316,0,11/1/2019 12:51,11/1/2019 12:58,6.93225,79.8714,6.9445,79.8806,115.07,correct
189198124,10.5,1388,50,0,44,11/1/2019 12:51,11/1/2019 13:14,6.86165,79.8943,6.89923,79.8577,239.59,correct
189200722,5,592,394,22.9702,0,11/1/2019 12:56,11/1/2019 13:06,6.92132,79.8776,6.91577,79.8776,82.97,correct
189197761,10.5,1745,286,16.5566698,21,11/1/2019 13:03,11/1/2019 13:32,6.88067,79.8938,6.89153,79.8613,284.15,correct
189207229,10.5,2412,190,0,148,11/1/2019 13:22,11/1/2019 14:02,7.07315,80.0162,7.18853,80.1509,873.73,correct
189211199,10.5,1385,290,16.762,3,11/1/2019 13:32,11/1/2019 13:55,6.87304,79.8659,6.87307,79.8662,206.43,correct
189213407,5,162747,162277,9460.7491,0,11/1/2019 13:35,11/3/2019 10:48,6.7844,79.8845,6.89959,79.8646,10264.42,correct
189214033,5,189,10,0.583,0,11/1/2019 13:37,11/1/2019 13:40,6.99034,79.8823,6.99547,79.8833,60.58,correct
189213695,10.5,1328,564,32.8812,103,11/1/2019 13:40,11/1/2019 14:02,6.93435,79.9852,6.91763,79.976,189.26,correct
189213072,10.5,385,103,6.0049,103,11/1/2019 13:42,11/1/2019 13:48,6.84225,79.8681,6.85008,79.8734,76.09,correct
189216823,10.5,1479,401,23.21617384,178,11/1/2019 13:50,11/1/2019 14:14,6.92033,79.8576,6.89397,79.8598,231.46,correct
189216722,10.5,152,30,1.749,14,11/1/2019 13:53,11/1/2019 13:56,6.88936,79.8543,6.8848,79.8558,62.24,correct
189218858,10.5,607,22,1.2826,167,11/1/2019 13:54,11/1/2019 14:04,7.29344,80.6361,7.29262,80.6255,125.72,correct
189225684,10.5,1740,379,0,55,11/1/2019 14:15,11/1/2019 14:44,6.8931,79.8894,6.93306,79.8561,277.58,correct
189228044,5,1255,570,33.231,0,11/1/2019 14:24,11/1/2019 14:45,6.90837,79.8579,6.90415,79.8541,193.31,correct
189228711,10.5,591,30,1.749,34,11/1/2019 14:29,11/1/2019 14:38,6.90825,79.9364,6.895,79.9501,138.91,correct
189227008,10.5,2159,1158,67.5114,344,11/1/2019 14:31,11/1/2019 15:07,7.32514,80.6521,7.29959,80.6366,274.56,correct
189228018,10.5,1599,158,9.1324,224,11/1/2019 14:33,11/1/2019 14:59,6.86738,79.8943,6.90545,79.86,313.64,correct
189228747,10.5,10823,0,0,324,11/1/2019 14:38,11/1/2019 17:38,6.91292,79.8776,6.91489,79.8774,115.1,incorrect
189230734,5,99,10,0.583,0,11/1/2019 14:38,11/1/2019 14:39,6.88504,79.9076,6.88418,79.9031,60.58,correct
189228642,10.5,1159,310,17.96515263,214,11/1/2019 14:39,11/1/2019 14:58,6.93409,79.8504,6.9128,79.865,225.31,correct
189230575,10.5,3039,2472,144.1176,79,11/1/2019 14:39,11/1/2019 15:30,6.85638,79.9029,6.91116,79.8498,634.51,correct
189231083,10.5,462,30,1.749,0,11/1/2019 14:40,11/1/2019 14:48,6.71872,80.0575,6.72162,80.0189,177.6,correct
189231599,,,,,,11/1/2019 14:48,11/1/2019 15:03,7.04783,79.8973,7.05307,79.9188,196.5,incorrect
189230749,10.5,450,120,0,121,11/1/2019 14:49,11/1/2019 14:57,6.72734,80.0835,6.71969,80.0717,419.14,incorrect
189232663,10.5,678,238,0,200,11/1/2019 14:56,11/1/2019 15:08,6.97994,79.9253,6.96767,79.9092,150.22,correct
189235224,10.5,1807,363,20.9814,110,11/1/2019 15:11,11/1/2019 15:41,6.84446,79.9247,6.89886,79.9122,303.9,correct
189235149,10.5,1388,207,11.99729016,6,11/1/2019 15:15,11/1/2019 15:39,6.8098,79.8962,6.81551,79.9344,233.62,correct
189236485,10.5,2954,2330,135.839,134,11/1/2019 15:20,11/1/2019 16:09,6.86568,79.9084,6.86565,79.9086,268.13,correct
189236807,10.5,1644,739,34.6222,30,11/1/2019 15:25,11/1/2019 15:53,6.85916,79.8964,6.89307,79.8712,243.64,correct
189238502,10.5,1410,20,0,68,11/1/2019 15:30,11/1/2019 15:53,6.85847,79.9159,6.78908,79.9229,357.14,correct
189238918,10.5,1313,120,5.78,94,11/1/2019 15:31,11/1/2019 15:53,6.88386,79.8663,6.88313,79.9026,235.62,correct
189238432,10.5,2443,370,21.386,200,11/1/2019 15:34,11/1/2019 16:15,6.9274,79.868,6.98317,79.9314,399.96,correct
189242677,10.5,1193,311,17.9758,30,11/1/2019 15:53,11/1/2019 16:13,6.8871,79.8836,6.89359,79.9091,193.61,correct
189245392,10.5,1582,376,21.9208,5,11/1/2019 16:05,11/1/2019 16:31,6.86967,79.8807,6.8695,79.8805,276.01,correct
189245966,5,382,28,1.6324,0,11/1/2019 16:05,11/1/2019 16:11,6.78391,79.8871,6.78851,79.8983,87.27,correct
189246252,10.5,423,0,0,118,11/1/2019 16:10,11/1/2019 16:17,7.19524,79.8616,7.21738,79.8536,528.43,incorrect
189246489,10.5,633,56,0,21,11/1/2019 16:13,11/1/2019 16:24,6.8536,79.8764,6.87355,79.8799,144.66,correct
189246667,10.5,828,207,12.0681,45,11/1/2019 16:15,11/1/2019 16:29,6.87413,79.8825,6.87805,79.862,137.94,correct
189246189,10.5,4203,2667,154.1526,130,11/1/2019 16:17,11/1/2019 17:27,7.02124,79.8986,7.02298,79.8998,750.42,incorrect
189248046,10.5,2163,858,50.0214,51,11/1/2019 16:18,11/1/2019 16:54,6.86617,79.8621,6.86625,79.8621,293.88,correct
189247969,10.5,2288,127,0,104,11/1/2019 16:19,11/1/2019 16:57,7.29942,80.6298,7.39207,80.591,757.83,correct
189247963,10.5,1078,57,0,5,11/1/2019 16:21,11/1/2019 16:39,6.82214,79.8683,6.86336,79.8716,233.11,correct
189248668,10.5,772,12,0,306,11/1/2019 16:31,11/1/2019 16:44,7.12477,79.9268,7.13074,79.8763,225.88,correct
189251620,10.5,1444,75,0,38,11/1/2019 16:33,11/1/2019 16:57,6.85573,79.8881,6.90724,79.8509,304.52,correct
189251999,10.5,94,80,0,30,11/1/2019 16:35,11/1/2019 16:37,6.91541,79.8955,6.91529,79.8955,60.5,correct
189252401,10.5,3216,810,0,45,11/1/2019 16:38,11/1/2019 17:31,7.29274,80.6323,7.23538,80.7511,1524.16,incorrect
189250944,10.5,1301,10,0,60,11/1/2019 16:43,11/1/2019 17:05,7.31738,80.6995,7.33181,80.6289,356.51,correct
189253801,10.5,2890,570,0,42,11/1/2019 16:46,11/1/2019 17:34,6.85082,79.8626,6.84017,79.9763,508.49,correct
189254214,10.5,941,10,0,52,11/1/2019 16:47,11/1/2019 17:03,6.83054,79.8679,6.83148,79.9055,218.97,correct
189254149,10.5,2693,1047,57.1064,128,11/1/2019 16:49,11/1/2019 17:34,6.88761,79.8735,6.81998,79.9154,473.94,correct
189256971,10.5,1096,100,5.83,29,11/1/2019 16:53,11/1/2019 17:11,7.2934,80.6344,7.27841,80.6621,210.33,correct
189258573,10.5,773,76,0,48,11/1/2019 17:02,11/1/2019 17:15,6.85656,79.8633,6.87631,79.8682,157.97,correct
189259043,10.5,3864,1350,78.05436914,19,11/1/2019 17:03,11/1/2019 18:07,6.88116,79.8905,6.85532,79.8655,515.73,correct
189260564,10.5,4083,247,14.4001,164,11/1/2019 17:09,11/1/2019 18:17,6.8815,79.9384,6.87669,79.928,107.06,incorrect
189259241,10.5,854,25,0,164,11/1/2019 17:11,11/1/2019 17:25,6.84492,79.9305,6.84632,79.9637,186.45,correct
189258007,10.5,1567,383,22.1374,1104,11/1/2019 17:18,11/1/2019 17:44,6.72069,79.9062,6.79549,79.8813,378.93,correct
189263192,10.5,1936,377,21.7906,120,11/1/2019 17:21,11/1/2019 17:53,6.98516,79.8867,7.03136,79.9199,337.82,correct
189265331,10.5,1004,61,3.5563,84,11/1/2019 17:22,11/1/2019 17:39,7.03263,79.9628,7.03171,79.9303,217.35,correct
189263421,10.5,2158,770,44.54436724,227,11/1/2019 17:23,11/1/2019 17:59,7.01999,79.8962,7.0372,79.9419,299.57,correct
189269731,10.5,1541,520,30.056,40,11/1/2019 17:33,11/1/2019 17:58,7.09292,79.9935,7.09081,80.0107,188.7,correct
189271370,10.5,1495,415,0,55,11/1/2019 17:43,11/1/2019 18:08,6.90976,79.9004,6.93603,79.8557,256.22,correct
189272789,10.5,2678,951,54.9678,81,11/1/2019 17:46,11/1/2019 18:31,6.97934,79.8889,6.95565,79.8615,343.45,correct
189255640,10.5,38,20,0,73,11/1/2019 17:53,11/1/2019 17:54,6.9185,79.8508,6.8402,79.9762,764.69,incorrect
189277507,10.5,406,91,5.3053,33,11/1/2019 18:02,11/1/2019 18:09,6.8551,79.9421,6.86813,79.9418,97.02,correct
189277797,10.5,3753,1540,56.8174,174,11/1/2019 18:03,11/1/2019 19:06,6.83668,79.8708,6.94985,79.8635,685.37,correct
189278717,10.5,2185,310,18.073,92,11/1/2019 18:03,11/1/2019 18:40,6.90376,79.9219,6.8697,79.8798,386.67,correct
189284005,10.5,4904,1589,91.88406293,44,11/1/2019 18:21,11/1/2019 19:43,6.90731,79.8524,6.9765,79.9254,686.49,correct
189289592,10.5,3189,487,0,265,11/1/2019 18:41,11/1/2019 19:34,6.75084,79.9027,6.85477,79.9143,611.36,correct
189291061,10.5,956,169,2.1964,55,11/1/2019 18:42,11/1/2019 18:58,6.83723,79.8718,6.80571,79.8854,193.91,correct
189291251,10.5,451,0,0,186,11/1/2019 18:47,11/1/2019 18:55,6.82156,79.8696,6.83846,79.8635,110.93,correct
189296237,10.5,980,10,0,24,11/1/2019 18:53,11/1/2019 19:09,6.83888,79.8677,6.8353,79.9046,208.81,correct
189295171,10.5,1343,80,0,133,11/1/2019 18:56,11/1/2019 19:19,6.9374,79.8507,6.87688,79.8625,351.46,correct
189297651,10.5,1359,290,16.762,100,11/1/2019 19:02,11/1/2019 19:25,6.93389,79.8618,6.88611,79.8687,312.44,correct
189299614,5,318,27,1.5741,0,11/1/2019 19:03,11/1/2019 19:08,7.02272,79.9557,7.02248,79.9476,93.29,correct
189297791,10.5,1684,100,5.78,130,11/1/2019 19:05,11/1/2019 19:33,7.02175,79.8999,7.00505,79.9543,284.33,correct
189299712,10.5,428,186,7.0516,194,11/1/2019 19:12,11/1/2019 19:19,7.0972,80.0028,7.0934,79.9938,69.88,correct
189299634,10.5,295,30,0,103,11/1/2019 19:12,11/1/2019 19:17,6.88704,79.925,6.87675,79.9266,90.87,correct
189301104,10.5,662,50,0,177,11/1/2019 19:13,11/1/2019 19:24,7.32292,80.6252,7.35843,80.6143,287.72,incorrect
189302363,5,86,83,4.8389,0,11/1/2019 19:15,11/1/2019 19:16,6.97711,79.9305,6.97711,79.9305,64.83,correct
189299351,10.5,1842,136,7.875330129,292,11/1/2019 19:15,11/1/2019 19:46,7.02115,79.9984,7.05065,80.0543,370.25,correct
189307116,10.5,1178,188,0,79,11/1/2019 19:45,11/1/2019 20:05,6.93787,79.8563,6.97118,79.8703,248.53,correct
189307311,10.5,472,20,0,82,11/1/2019 19:50,11/1/2019 19:58,6.04106,80.2318,6.04407,80.2134,132.47,correct
189308768,10.5,1330,250,14.45,6,11/1/2019 19:54,11/1/2019 20:16,6.9061,79.8963,6.90618,79.8961,289.64,correct
189310309,10.5,2323,140,0,39,11/1/2019 20:02,11/1/2019 20:40,7.00277,79.9537,7.12812,80.0729,745.78,correct
189310810,10.5,1612,490,0,2,11/1/2019 20:05,11/1/2019 20:32,6.9067,79.851,6.90422,79.9239,376.48,correct
189311290,10.5,898,95,0,77,11/1/2019 20:14,11/1/2019 20:29,6.81349,79.8934,6.79303,79.9155,224.97,correct
189312263,10.5,287,286,1.156,8,11/1/2019 20:18,11/1/2019 20:23,6.91174,79.8504,6.91174,79.8504,71.39,incorrect
189311116,10.5,1576,351,20.4633,199,11/1/2019 20:27,11/1/2019 20:53,6.89545,79.8963,6.9294,79.9004,278.77,correct
189316198,10.5,624,44,0,48,11/1/2019 20:43,11/1/2019 20:54,6.93175,79.8426,6.91635,79.8702,187.83,correct
189316986,10.5,501,93,5.41875,178,11/1/2019 20:52,11/1/2019 21:01,6.86863,79.9106,6.86441,79.9018,118.23,correct
189318308,10.5,1207,20,0,3,11/1/2019 21:00,11/1/2019 21:21,6.87112,79.8764,6.8601,79.9411,364.67,correct
189319887,10.5,709,350,20.405,53,11/1/2019 21:11,11/1/2019 21:23,7.29336,80.635,7.30529,80.6375,124.78,correct
189320689,10.5,558,50,0,130,11/1/2019 21:25,11/1/2019 21:34,7.28865,80.6215,7.29336,80.636,113.13,correct
189320879,10.5,1821,50,0,197,11/1/2019 21:25,11/1/2019 21:56,6.97659,79.9256,7.06547,79.9385,587.33,correct
189321060,10.5,2300,62,3.586863752,42,11/1/2019 21:28,11/1/2019 22:06,6.98839,79.8977,6.9737,79.9773,562.32,correct
189321441,10.5,761,116,0,5,11/1/2019 21:30,11/1/2019 21:43,6.80535,79.8825,6.83304,79.8653,203.51,correct
189322307,10.5,934,75,0,99,11/1/2019 21:37,11/1/2019 21:53,6.95089,79.9171,6.94853,79.9579,217.55,correct
189322508,10.5,1153,17,0,70,11/1/2019 21:38,11/1/2019 21:57,6.92414,79.9783,6.92949,79.9194,351.18,correct
189322219,10.5,1104,130,0,105,11/1/2019 21:39,11/1/2019 21:58,6.85457,79.8789,6.91049,79.85,289,correct
189323004,10.5,2052,1225,64.9672,162,11/1/2019 21:54,11/1/2019 22:29,7.3193,80.6321,7.32692,80.662,309.6,correct
189324348,10.5,354,30,0,66,11/1/2019 22:02,11/1/2019 22:08,6.91769,79.8554,6.91875,79.8669,89.15,correct
189324956,10.5,955,197,0,448,11/1/2019 22:10,11/1/2019 22:26,6.90108,79.8706,6.9331,79.8432,230.52,correct
189326405,10.5,1074,21,0,97,11/1/2019 22:26,11/1/2019 22:44,7.06121,79.8912,7.07077,79.9524,293.95,correct
189326946,10.5,323,20,0,8,11/1/2019 22:29,11/1/2019 22:34,6.7895,79.8857,6.78342,79.8798,93.61,correct
189328885,10.5,2074,10,0,88,11/1/2019 22:56,11/1/2019 23:30,7.31755,80.6297,7.25721,80.6754,898.2,incorrect
189328759,10.5,1333,42,0,45,11/1/2019 22:56,11/1/2019 23:19,6.79861,79.8731,6.84749,79.8884,280.86,correct
189326852,10.5,41,35,0,81,11/1/2019 22:57,11/1/2019 22:57,6.8698,79.913,6.85362,79.9857,394.62,correct
189330412,10.5,1252,243,14.1669,119,11/1/2019 23:43,11/2/2019 0:04,6.91952,79.9744,6.97948,80.0214,391.71,correct
189331202,10.5,1239,877,0,220,11/1/2019 23:52,11/2/2019 0:13,6.85292,80.0453,6.85101,80.0407,541.97,incorrect
189331841,10.5,2010,130,7.526628571,45,11/1/2019 23:54,11/2/2019 0:27,7.02703,79.9561,7.03091,80.0389,479.9,correct
189332849,10.5,1427,74,0,30,11/2/2019 0:16,11/2/2019 0:39,6.85492,79.8634,6.93602,79.8806,415.57,correct
189334101,10.5,2242,77,4.4891,123,11/2/2019 0:49,11/2/2019 1:26,6.93291,79.844,6.88126,79.8599,544.06,correct
189334659,10.5,1100,50,0,184,11/2/2019 1:04,11/2/2019 1:22,6.87785,79.9019,6.93336,79.8565,383.48,correct
189335987,10.5,1842,814,47.09409427,53,11/2/2019 1:41,11/2/2019 2:11,6.83287,79.8777,6.84217,79.884,327.12,correct
189337200,10.5,372,30,0,72,11/2/2019 2:24,11/2/2019 2:31,6.9006,79.8532,6.91162,79.8668,119.22,correct
189337295,10.5,246,20,0,65,11/2/2019 2:28,11/2/2019 2:32,6.84539,79.9527,6.83757,79.9513,67.84,correct
189338186,10.5,1054,88,5.1304,79,11/2/2019 3:14,11/2/2019 3:31,6.91123,79.8703,6.87726,79.8905,266.1,correct
189340972,10.5,2079,139,0,232,11/2/2019 5:50,11/2/2019 6:24,6.95915,79.9295,6.85292,79.9003,610.58,correct
189341635,10.5,421,10,0,145,11/2/2019 6:06,11/2/2019 6:13,6.91797,79.9496,6.90415,79.9544,120.61,correct
189341749,10.5,555,212,12.2536,16,11/2/2019 6:08,11/2/2019 6:17,7.13326,79.8785,7.14318,79.8694,101.92,correct
189343203,10.5,1621,228,4.2194,81,11/2/2019 6:47,11/2/2019 7:14,6.80421,79.8824,6.871,79.8619,363.2,correct
189343250,10.5,1230,285,16.6155,282,11/2/2019 6:49,11/2/2019 7:10,6.83969,79.961,6.86824,79.9245,265.81,correct
189343711,10.5,1149,195,0,121,11/2/2019 6:51,11/2/2019 7:10,6.83609,79.961,6.8566,79.8899,360.95,correct
189344234,10.5,531,210,0,119,11/2/2019 7:00,11/2/2019 7:09,6.84681,79.8892,6.85021,79.8723,98.98,correct
189344340,10.5,1035,481,28.0423,138,11/2/2019 7:05,11/2/2019 7:22,6.83713,79.8718,6.87967,79.8662,237.68,correct
189344806,10.5,757,146,0,98,11/2/2019 7:10,11/2/2019 7:23,6.84892,79.8998,6.8802,79.8826,198.95,correct
189344916,10.5,2449,140,8.162,22,11/2/2019 7:19,11/2/2019 8:00,6.92691,79.8702,7.03401,79.9231,602.57,correct
189345133,10.5,860,120,6.936,164,11/2/2019 7:20,11/2/2019 7:34,7.01299,79.8948,6.98705,79.9014,217.78,correct
189345964,10.5,384,24,0,49,11/2/2019 7:27,11/2/2019 7:33,6.05099,80.2144,6.03255,80.2168,112.51,correct
189349154,10.5,3596,540,31.482,34,11/2/2019 8:02,11/2/2019 9:02,6.8616,79.8639,6.98958,79.9227,833.68,correct
189349843,10.5,1365,94,0,46,11/2/2019 8:12,11/2/2019 8:35,6.94789,79.8573,6.90078,79.8721,248.54,correct
189352404,5,883,16,0.9328,0,11/2/2019 8:24,11/2/2019 8:39,7.03192,80.089,6.99731,80.0731,296.53,correct
189352198,10.5,1130,120,0,152,11/2/2019 8:32,11/2/2019 8:51,6.9149,79.8965,6.93413,79.8505,247.66,correct
189353033,10.5,435,10,0,168,11/2/2019 8:34,11/2/2019 8:41,7.2974,80.6373,7.28775,80.626,117.57,correct
189355805,5,381,20,1.166,0,11/2/2019 8:51,11/2/2019 8:57,6.89348,79.8534,6.89513,79.8645,102.84,correct
189357031,10.5,1620,580,33.814,63,11/2/2019 9:05,11/2/2019 9:32,6.93745,79.8657,6.97435,79.9161,321.04,correct
189356722,10.5,798,72,0,263,11/2/2019 9:05,11/2/2019 9:19,7.33149,80.6236,7.29819,80.6371,200.14,correct
